title,content,tokens
flow_chart section 1,"醫小梅客服流程詳細描述  
1. 初始加入好友  
• 加入好友 ：顧客加入「醫小梅」 LINE好友後，自動收到歡迎訊息與貼",2857
flow_chart section 1,"圖。內容為： 「 Hi~{Nickname} 您好！我是醫小梅，歡迎使用醫聯網各項
服務，請依照您的需求選擇。」  
2. 主要選單  (大分類) 
• 按我問問題 ：",2857
flow_chart section 1,"• 按我問問題 ： 
o 顧客點選後，系統回應： 「 Hi, {顧客名稱 } 您好! 我是醫小梅，讓
我來為您服務，請依照下列步驟操作。」接下來提供進一步的選
項或指引。  
• 企業員工健檢 ：",2857
flow_chart section 1,"項或指引。  
• 企業員工健檢 ： 
o 我要預約 ：顧客選擇此選項後，系統回應： 「好的，讓我來協助
您，請您依序提供下列資訊。請告知您的公司名稱或統編？」",2857
flow_chart section 1,"▪ 若顧客輸入了公司名稱或統編，系統引導顧客登入到專屬
平台進行後續步驟：  
▪ 步驟1：提供登入專區連結。  
▪ 步驟2：提示找到對應企業（例如「台灣通力電梯",2857
flow_chart section 1,"股份有限公司」 ） ，並提供登入指導。  
▪ 若未找到符合的企業，請重新輸入（循環３次）  
o 其他預約問題  
▪ 進入專區後要怎麼進行預約",2857
flow_chart section 1,"▪ 進入專區後要怎麼進行預約  
▪ 您好!請依照下列步驟  (給多頁操作圖卡 ) 
▪ 結帳後接下來怎麼做  
▪ 您好! 請點選""我的訂單 ""，到歷史紀錄填寫問卷送",2857
flow_chart section 1,"出後，就能看到預約行事曆，謝謝  (提供教學圖卡 ) 
▪ 想要幫眷屬預約  ▪ 好的，請您直接登入您的企業專區，選擇方案後進
行線上付款即可。眷屬輸入折扣碼為【 Medi99】，",2857
flow_chart section 1,"眷屬價格與員工一樣喔 !(提供教學圖卡 ) 
▪ 找不到合適的健檢日期  
▪ 好的，讓我來協助您，請您依序提供下列資訊，謝
謝您。請告知受檢者姓名？  
▪ 請告知您的訂單編號？",2857
flow_chart section 1,"▪ 請告知您的訂單編號？  
▪ 請告知想要體檢的３個日期  
▪ 說:”收到，後續將由客服人員為您安
排，確認體檢日後將會回覆您，請留
意客服訊息，謝謝您 ”",2857
flow_chart section 1,"意客服訊息，謝謝您 ” 
▪ 【建單後的回覆，要發通知信】 通知
信內容包含 : 提供包含檢查日期、檢
查機構、和檢查套組，並留意 """"生活
問卷""""是否已經填寫，務必填寫完成",2857
flow_chart section 1,"問卷""""是否已經填寫，務必填寫完成
才算預約完成喔，下列為問卷連結：
【接連結】  
▪ ""經查訂單資料填寫不完整，讓我來協助您，
請依序提供受檢者的姓名 、性別、 身分證字",2857
flow_chart section 1,"號、聯絡電話 、和通訊地址 ” 
▪ 【若３次都錯】 【推小分類圖卡】 說""
不好意思，目前沒有完全符合您所寫
的帳號。建議您再重新選擇您的問
題，或許我就能回答您喔，謝謝 """,2857
flow_chart section 1,"題，或許我就能回答您喔，謝謝 "" 
▪ 若未找到符合的訂單編號，重新輸入（循環
３次）  
▪ ""【若３次都錯】 (推小分類圖卡 ) 
說: ""不好意思，目前沒有完全符合您",2857
flow_chart section 1,"說: ""不好意思，目前沒有完全符合您
所寫的訂單編號。建議再重新選擇您的問題，或許我就能回答您喔，謝謝 "" 
o 如何升等或加選  
▪ 如何升等方案",2857
flow_chart section 1,"▪ 如何升等方案  
▪ 您好!您可以直接選擇升等的方案，僅需要線上支付
差額即可，電子發票會寄送至您的會員信箱  
▪ 如何加選項目  
▪ 好的，讓我來協助您，請您依序提供下列資訊，謝",2857
flow_chart section 1,"謝您。請告知受檢者姓名？  
▪ 請告知您的訂單編號？  
▪ 請告知您想加選項目  
▪ 收到，後續將由客服人員為您
安排，確認後將會回覆您，請
留意客服訊息，謝謝您",2857
flow_chart section 1,"留意客服訊息，謝謝您  
▪ ""【確認後的回覆】 ”您好，您
的體檢日期已安排於下列，請
記得預留時間喔 ”，回覆須包
含: 檢查日期 、檢查機構 、檢
查套組、和加選項目 。",2857
flow_chart section 1,"查套組、和加選項目 。 
▪ 未找到符合的訂單編號，請重新輸入
（循環３次）  
▪ ""【若３次都錯】 【推小分類圖
卡】說不好意思，目前沒有完
全符合您所寫的訂單編號。建",2857
flow_chart section 1,"全符合您所寫的訂單編號。建
議您再重新選擇您的問題，或
許我就能回答您喔，謝謝 "" 
o 折扣碼問題  
▪ 折扣碼無法使用",2857
flow_chart section 1,"▪ 折扣碼無法使用  
▪ 您好!請提供註冊帳號 (mail)，我們將會為您確認  ▪ （有帳號／未綁訂折扣碼）  
▪ 請確認您提供的帳號是否為公司本次
健檢所綁訂的有效帳號，或請您描述",2857
